D.mel FBtr	locus
FBtr0310151	NC_057929.1_cds_XP_014763007.1_13467
FBtr0310152	NC_057929.1_cds_XP_014763007.1_13467
FBtr0310153	NC_057929.1_cds_XP_014763007.1_13467
FBtr0310154	NC_057929.1_cds_XP_014763007.1_13467
FBtr0087042	NC_057929.1_cds_XP_001960610.1_15354
FBtr0089559	NC_057929.1_cds_XP_001960149.1_14554
FBtr0340276	NC_057929.1_cds_XP_001960149.1_14554
FBtr0340457	NC_057929.1_cds_XP_014762768.2_15080
FBtr0304055	NC_057929.1_cds_XP_001958901.1_12226
FBtr0086518	NC_057929.1_cds_XP_001958901.1_12226
FBtr0086301	NC_057929.1_cds_XP_001959028.1_12446
FBtr0071535	NC_057929.1_cds_XP_014762983.1_13637
FBtr0332423	NC_057929.1_cds_XP_014762983.1_13637
FBtr0071536	NC_057929.1_cds_XP_014762983.1_13637
FBtr0071537	NC_057929.1_cds_XP_014762983.1_13637
FBtr0071538	NC_057929.1_cds_XP_014762983.1_13637
FBtr0071539	NC_057929.1_cds_XP_014762983.1_13637
FBtr0071540	NC_057929.1_cds_XP_014762983.1_13637
FBtr0342897	NC_057929.1_cds_XP_001959337.1_13025
FBtr0342896	NC_057929.1_cds_XP_001959337.1_13025
FBtr0071703	NC_057929.1_cds_XP_001959337.1_13025
FBtr0306013	NC_057929.1_cds_XP_014763085.1_13027
FBtr0300397	NC_057929.1_cds_XP_001959337.1_13025
FBtr0071785	NC_057929.1_cds_XP_014763185.1_12233
FBtr0071784	NC_057929.1_cds_XP_014763185.1_12233
FBtr0345504	NC_057929.1_cds_XP_001959705.1_13728
FBtr0071933	NC_057929.1_cds_XP_001959705.1_13728
FBtr0072127	NC_057929.1_cds_XP_001958663.3_11842
FBtr0343274	NC_057929.1_cds_XP_001958663.3_11842
FBtr0343340	NC_057929.1_cds_XP_001959468.1_13257
FBtr0072164	NC_057929.1_cds_XP_001959468.1_13257
FBtr0343341	NC_057929.1_cds_XP_001959468.1_13257
FBtr0300792	NC_057931.1_cds_XP_001966497.1_23246
FBtr0070411	NC_057931.1_cds_XP_001966497.1_23246
FBtr0070836	NC_057931.1_cds_XP_001963792.1_21641
FBtr0071249	NC_057932.1_cds_XP_001966721.1_25673
FBtr0343030	NC_057932.1_cds_XP_044573188.1_25708
FBtr0071393	NC_057932.1_cds_XP_044573188.1_25708
FBtr0071394	NC_057932.1_cds_XP_044573188.1_25708
FBtr0073407	NC_057931.1_cds_XP_014761260.1_23894
FBtr0073408	NC_057931.1_cds_XP_014761262.1_23895
FBtr0346382	NC_057931.1_cds_XP_014761262.1_23895
FBtr0073406	NC_057931.1_cds_XP_001963587.1_23896
FBtr0339836	NC_057931.1_cds_XP_001963587.1_23896
FBtr0345166	NC_057931.1_cds_XP_014761270.1_23787
FBtr0073611	NC_057931.1_cds_XP_014761270.1_23787
FBtr0073609	NC_057931.1_cds_XP_014761270.1_23787
FBtr0073610	NC_057931.1_cds_XP_014761270.1_23787
FBtr0073608	NC_057931.1_cds_XP_014761270.1_23787
FBtr0073575	NC_057931.1_cds_XP_001966141.1_22711
FBtr0073576	NC_057931.1_cds_XP_001966141.1_22711
FBtr0073578	NC_057931.1_cds_XP_014759947.3_22710
FBtr0073577	NC_057931.1_cds_XP_001966141.1_22711
FBtr0074393	NC_057932.1_cds_XP_001965677.1_24563
FBtr0340616	NC_057932.1_cds_XP_001965677.1_24563
FBtr0074461	NC_057931.1_cds_XP_001966019.1_22537
FBtr0346625	NC_057932.1_cds_XP_001965473.1_24908
FBtr0074559	NC_057932.1_cds_XP_001965473.1_24908
FBtr0077335	NC_057931.1_cds_XP_001963532.1_23802
FBtr0077336	NC_057931.1_cds_XP_001963532.1_23802
FBtr0308243	NC_057931.1_cds_XP_001963532.1_23802
FBtr0070059	NC_057931.1_cds_XP_032308437.1_22080
FBtr0070062	NC_057931.1_cds_XP_032308437.1_22080
FBtr0070061	NC_057931.1_cds_XP_032308437.1_22080
FBtr0070058	NC_057931.1_cds_XP_032308437.1_22080
FBtr0070060	NC_057931.1_cds_XP_032308437.1_22080
FBtr0306841	NC_057930.1_cds_XP_001962698.2_19286
FBtr0344769	NC_057930.1_cds_XP_001962698.2_19286
FBtr0342609	NC_057930.1_cds_XP_001962698.2_19286
FBtr0080101	NC_057930.1_cds_XP_032311444.1_18547
FBtr0080158	NC_057930.1_cds_XP_032310919.1_19103
FBtr0080158	NC_057930.1_cds_XP_032310919.1_19103
FBtr0344020	NC_057930.1_cds_XP_032310919.1_19103
FBtr0344020	NC_057930.1_cds_XP_032310919.1_19103
FBtr0334137	NC_057930.1_cds_XP_014760526.1_17707
FBtr0334140	NC_057930.1_cds_XP_014760525.1_17694
FBtr0334138	NC_057930.1_cds_XP_014760525.1_17694
FBtr0334138	NC_057930.1_cds_XP_014760525.1_17694
FBtr0334142	NC_057930.1_cds_XP_044572194.1_17692
FBtr0334142	NC_057930.1_cds_XP_044572194.1_17692
FBtr0344148	NC_057930.1_cds_XP_014760525.1_17694
FBtr0344148	NC_057930.1_cds_XP_014760525.1_17694
FBtr0334135	NC_057930.1_cds_XP_032310939.1_17690
FBtr0334135	NC_057930.1_cds_XP_032310939.1_17690
FBtr0334141	NC_057930.1_cds_XP_014760525.1_17694
FBtr0334141	NC_057930.1_cds_XP_014760525.1_17694
FBtr0334141	NC_057930.1_cds_XP_014760525.1_17694
FBtr0334139	NC_057930.1_cds_XP_014760525.1_17694
FBtr0334139	NC_057930.1_cds_XP_014760525.1_17694
FBtr0334136	NC_057930.1_cds_XP_014760525.1_17694
FBtr0081221	NC_057930.1_cds_XP_044572248.1_20628
FBtr0300823	NC_057930.1_cds_XP_044572248.1_20628
FBtr0331328	NC_057930.1_cds_XP_001962800.1_19138
FBtr0331330	NC_057930.1_cds_XP_001962800.1_19138
FBtr0081254	NC_057930.1_cds_XP_001962800.1_19138
FBtr0331329	NC_057930.1_cds_XP_001962800.1_19138
FBtr0075836	
FBtr0078482	
FBtr0079624	
FBtr0086327	
FBtr0087390	
FBtr0091608	
FBtr0110870	
FBtr0301001	
FBtr0301941	
FBtr0334114	
FBtr0339567	
FBtr0339891	
FBtr0340000	
FBtr0346715	
FBtr0072455	NW_020825207.1_cds_XP_001976726.1_14385
FBtr0073984	NW_020825209.1_cds_XP_001978149.1_20488
FBtr0075115	NW_020825198.1_cds_XP_026833102.1_8556
FBtr0075116	NW_020825198.1_cds_XP_026833102.1_8556
FBtr0075836	NW_020825198.1_cds_XP_026833146.1_8206
FBtr0076003	NW_020825198.1_cds_XP_001972510.1_8030
FBtr0078003	NW_020825200.1_cds_XP_026834947.1_10285
FBtr0078333	NW_020825198.1_cds_XP_001973560.1_9654
FBtr0078334	NW_020825198.1_cds_XP_001973559.1_9653
FBtr0078335	NW_020825198.1_cds_XP_001973557.1_9651
FBtr0079716	NW_020825200.1_cds_XP_001970300.2_13459
FBtr0080273	NW_020825200.1_cds_XP_026834770.1_12663
FBtr0081538	NW_020825194.1_cds_XP_001979199.1_4817
FBtr0081690	NW_020825194.1_cds_XP_001979109.1_4966
FBtr0082351	NW_020825194.1_cds_XP_001980589.1_2682
FBtr0082357	NW_020825194.1_cds_XP_001980579.1_2694
FBtr0082362	NW_020825194.1_cds_XP_001980589.1_2682
FBtr0082980	NW_020825194.1_cds_XP_026831855.1_3687
FBtr0084915	NW_020825194.1_cds_XP_026839759.1_1090
FBtr0085512	NW_020825194.1_cds_XP_001981283.1_386
FBtr0085611	NW_020825194.1_cds_XP_026839491.1_304
FBtr0086327	NW_020825207.1_cds_XP_001974850.1_17284
FBtr0086927	NW_020825207.1_cds_XP_026836733.1_16748
FBtr0086928	NW_020825207.1_cds_XP_026836733.1_16748
FBtr0088122	NW_020825207.1_cds_XP_001976079.1_15350
FBtr0088161	NW_020825207.1_cds_XP_001976081.1_15348
FBtr0091608	NW_020825194.1_cds_XP_001980712.1_2481
FBtr0091785	NW_020825194.1_cds_XP_001980711.1_2482
FBtr0110767	NW_020825200.1_cds_XP_001968596.1_10811
FBtr0110781	NW_020825194.1_cds_XP_026831793.1_2984
FBtr0110870	NW_020825194.1_cds_XP_001981689.1_1008
FBtr0300297	NW_020825200.1_cds_XP_015015473.1_10806
FBtr0300307	NW_020825200.1_cds_XP_015015443.1_12694
FBtr0300311	NW_020825200.1_cds_XP_026834938.1_11357
FBtr0300316	NW_020825198.1_cds_XP_026833039.1_8204
FBtr0300362	NW_020825198.1_cds_XP_026832692.1_6356
FBtr0300363	NW_020825198.1_cds_XP_026832691.1_6357
FBtr0301001	NW_020825194.1_cds_XP_015010429.1_5016
FBtr0301936	NW_020825200.1_cds_XP_026834772.1_12664
FBtr0302155	NW_020825198.1_cds_XP_026832180.1_8615
FBtr0303840	NW_020825194.1_cds_XP_026838526.1_2985
FBtr0305483	NW_020825200.1_cds_XP_026834916.1_10827
FBtr0305673	NW_020825200.1_cds_XP_001968596.1_10811
FBtr0306842	NW_020825200.1_cds_XP_026834973.1_11209
FBtr0333286	NW_020825198.1_cds_XP_001973560.1_9654
FBtr0303841	NW_020825194.1_cds_XP_001980374.2_2986
FBtr0309516	NW_020825194.1_cds_XP_001979777.2_3918
FBtr0333383	NW_020825198.1_cds_XP_001972510.1_8030
FBtr0333421	NW_020825200.1_cds_XP_026834770.1_12663
FBtr0339295	NW_020825198.1_cds_XP_026833039.1_8204
FBtr0340600	NW_020825207.1_cds_XP_001974850.1_17284
FBtr0345580	NW_020825207.1_cds_XP_001976726.1_14385
FBtr0345928	NW_020825207.1_cds_XP_001976079.1_15350
FBtr0346098	NW_020825194.1_cds_XP_001980589.1_2682
FBtr0346141	NW_020825209.1_cds_XP_001977456.1_19297
FBtr0346715	NW_020825200.1_cds_XP_026834938.1_11357
FBtr0346808	NW_020825198.1_cds_XP_026832692.1_6356
FBtr0078482	
FBtr0078977	NW_020825194.1_cds_XP_026838647.1_5483
FBtr0081711	NW_020825194.1_cds_XP_001979064.2_5036
FBtr0301268	NW_020825194.1_cds_XP_001979073.2_5017
FBtr0081596	NW_020825194.1_cds_XP_001979171.1_4849
FBtr0081591	NW_020825194.1_cds_XP_001979177.1_4842
FBtr0300322	NW_020825194.1_cds_XP_015010535.1_4741
FBtr0100545	NW_020825194.1_cds_XP_001981000.1_2047
FBtr0345323	NW_020825194.1_cds_XP_001981000.1_2047
FBtr0300742	NW_020825194.1_cds_XP_001980883.2_2205
FBtr0333190	NW_020825194.1_cds_XP_001980860.1_2252
FBtr0081973	NW_020825194.1_cds_XP_001980860.1_2252
FBtr0334618	NW_020825194.1_cds_XP_001980787.1_2380
FBtr0082103	NW_020825194.1_cds_XP_001980787.1_2380
FBtr0306696	NW_020825194.1_cds_XP_015009893.1_2867
FBtr0082489	NW_020825194.1_cds_XP_015009891.1_2866
FBtr0082490	NW_020825194.1_cds_XP_015009893.1_2867
FBtr0082491	NW_020825194.1_cds_XP_015009891.1_2866
FBtr0082492	NW_020825194.1_cds_XP_015009891.1_2866
FBtr0082493	NW_020825194.1_cds_XP_001980481.1_2868
FBtr0082494	NW_020825194.1_cds_XP_001980481.1_2868
FBtr0082495	NW_020825194.1_cds_XP_001980481.1_2868
FBtr0082496	NW_020825194.1_cds_XP_015009891.1_2866
FBtr0082497	NW_020825194.1_cds_XP_015009893.1_2867
FBtr0082498	NW_020825194.1_cds_XP_026833681.1_2864
FBtr0082499	NW_020825194.1_cds_XP_015009893.1_2867
FBtr0082500	NW_020825194.1_cds_XP_001980481.1_2868
FBtr0082501	NW_020825194.1_cds_XP_015009891.1_2866
FBtr0082502	NW_020825194.1_cds_XP_001980481.1_2868
FBtr0082503	NW_020825194.1_cds_XP_015009891.1_2866
FBtr0082757	NW_020825194.1_cds_XP_001980269.1_3148
FBtr0082821	NW_020825194.1_cds_XP_001980229.1_3200
FBtr0082888	NW_020825194.1_cds_XP_001979876.1_3778
FBtr0082889	NW_020825194.1_cds_XP_001979876.1_3778
FBtr0082947	NW_020825194.1_cds_XP_015010208.1_3736
FBtr0082948	NW_020825194.1_cds_XP_015010207.1_3737
FBtr0082949	NW_020825194.1_cds_XP_015010207.1_3737
FBtr0082950	NW_020825194.1_cds_XP_015010208.1_3736
FBtr0100277	NW_020825194.1_cds_XP_015010207.1_3737
FBtr0083141	NW_020825194.1_cds_XP_001980002.1_3587
FBtr0083142	NW_020825194.1_cds_XP_001980002.1_3587
FBtr0303831	NW_020825194.1_cds_XP_026831943.1_3944
FBtr0083725	NW_020825194.1_cds_XP_001979592.1_4195
FBtr0300803	NW_020825194.1_cds_XP_001979414.1_4452
FBtr0110823	NW_020825194.1_cds_XP_015009651.1_4519
FBtr0083993	NW_020825194.1_cds_XP_001979380.1_4520
FBtr0084128	NW_020825194.1_cds_XP_001981021.1_2019
FBtr0084149	NW_020825194.1_cds_XP_001982344.1_1978
FBtr0084150	NW_020825194.1_cds_XP_001982343.1_1977
FBtr0084434	NW_020825194.1_cds_XP_001982122.1_1674
FBtr0084442	NW_020825194.1_cds_XP_001982111.1_1662
FBtr0306105	NW_020825194.1_cds_XP_001981920.1_1334
FBtr0110871	NW_020825194.1_cds_XP_001981690.2_1010
FBtr0085254	NW_020825194.1_cds_XP_001981484.1_699
FBtr0085260	NW_020825194.1_cds_XP_001981476.2_690
FBtr0336789	NW_020825194.1_cds_XP_001981437.1_623
FBtr0336789	NW_020825194.1_cds_XP_001981437.1_623
FBtr0085314	NW_020825194.1_cds_XP_001981437.1_623
FBtr0085314	NW_020825194.1_cds_XP_001981437.1_623
FBtr0085313	NW_020825194.1_cds_XP_001981436.1_622
FBtr0112491	NW_020825194.1_cds_XP_015009377.2_621
FBtr0085311	NW_020825194.1_cds_XP_001981435.1_620
FBtr0085401	NW_020825194.1_cds_XP_026831626.1_503
FBtr0332431	NW_020825194.1_cds_XP_026831626.1_503
FBtr0085655	NW_020825194.1_cds_XP_026837496.1_255
FBtr0110859	NW_020825194.1_cds_XP_026837496.1_255
FBtr0345121	NW_020825194.1_cds_XP_026837496.1_255
FBtr0335440	NW_020825194.1_cds_XP_001981170.1_228
FBtr0300962	NW_020825194.1_cds_XP_001981170.1_228
FBtr0085733	NW_020825194.1_cds_XP_001981125.1_171
FBtr0085734	NW_020825194.1_cds_XP_001981125.1_171
FBtr0073015	NW_020825198.1_cds_XP_001971313.1_6093
FBtr0072982	NW_020825198.1_cds_XP_015013674.1_6128
FBtr0072983	NW_020825198.1_cds_XP_015013674.1_6128
FBtr0332112	NW_020825198.1_cds_XP_015013674.1_6128
FBtr0073073	NW_020825198.1_cds_XP_001971750.1_6888
FBtr0304829	NW_020825198.1_cds_XP_015014294.1_6905
FBtr0077038	NW_020825198.1_cds_XP_001972054.1_7352
FBtr0077040	NW_020825198.1_cds_XP_001972056.1_7354
FBtr0077047	NW_020825198.1_cds_XP_001972065.1_7363
FBtr0091954	NW_020825198.1_cds_XP_001972105.2_7409
FBtr0302931	NW_020825198.1_cds_XP_001972105.2_7409
FBtr0076752	NW_020825198.1_cds_XP_001971390.1_6239
FBtr0076582	NW_020825198.1_cds_XP_026833077.1_6637
FBtr0076398	NW_020825198.1_cds_XP_026832948.1_7596
FBtr0076399	NW_020825198.1_cds_XP_026832948.1_7596
FBtr0076400	NW_020825198.1_cds_XP_026832948.1_7596
FBtr0076401	NW_020825198.1_cds_XP_026832948.1_7596
FBtr0330097	NW_020825198.1_cds_XP_026832948.1_7596
FBtr0076311	NW_020825198.1_cds_XP_001972265.1_7690
FBtr0076256	NW_020825198.1_cds_XP_001972292.1_7737
FBtr0076193	NW_020825198.1_cds_XP_001972312.1_7763
FBtr0076136	NW_020825198.1_cds_XP_001972415.2_7897
FBtr0076136	NW_020825198.1_cds_XP_001972415.2_7897
FBtr0075615	NW_020825198.1_cds_XP_001973075.1_8912
FBtr0075171	NW_020825198.1_cds_XP_026833192.1_8639
FBtr0075171	NW_020825198.1_cds_XP_026833192.1_8639
FBtr0300049	NW_020825198.1_cds_XP_001972834.3_8549
FBtr0304702	NW_020825198.1_cds_XP_001972833.1_8548
FBtr0300051	NW_020825198.1_cds_XP_026833458.1_8546
FBtr0332651	NW_020825198.1_cds_XP_015013001.1_9237
FBtr0075045	NW_020825198.1_cds_XP_015013001.1_9237
FBtr0075044	NW_020825198.1_cds_XP_026832382.1_9239
FBtr0075042	NW_020825198.1_cds_XP_001973293.1_9238
FBtr0075043	NW_020825198.1_cds_XP_015013001.1_9237
FBtr0078370	NW_020825198.1_cds_XP_001973646.1_9798
FBtr0333971	NW_020825198.1_cds_XP_015014236.1_9834
FBtr0301939	NW_020825198.1_cds_XP_015014236.1_9834
FBtr0332052	NW_020825198.1_cds_XP_026832808.1_10015
FBtr0078558	NW_020825198.1_cds_XP_026832808.1_10015
FBtr0301802	NW_020825220.1_cds_XP_015015482.1_22929
FBtr0333380	NW_020825220.1_cds_XP_015015482.1_22929
FBtr0113813	NW_020825220.1_cds_XP_015015482.1_22929
FBtr0301797	NW_020825220.1_cds_XP_015015482.1_22929
FBtr0301803	NW_020825220.1_cds_XP_015015482.1_22929
FBtr0301804	NW_020825220.1_cds_XP_015015482.1_22929
FBtr0300357	NW_020825200.1_cds_XP_001970710.1_14140
FBtr0309371	NW_020825200.1_cds_XP_001970709.2_14139
FBtr0086164	NW_020825200.1_cds_XP_026834970.1_14138
FBtr0113047	NW_020825200.1_cds_XP_015015517.1_14011
FBtr0305124	NW_020825200.1_cds_XP_001970639.2_14010
FBtr0299788	NW_020825200.1_cds_XP_001970447.1_13706
FBtr0339346	NW_020825200.1_cds_XP_026834943.1_13705
FBtr0301706	NW_020825200.1_cds_XP_001969154.3_11721
FBtr0088476	NW_020825200.1_cds_XP_001969153.1_11720
FBtr0088198	NW_020825207.1_cds_XP_001976147.1_15262
FBtr0339474	NW_020825207.1_cds_XP_026836598.1_15263
FBtr0088090	NW_020825207.1_cds_XP_001976048.1_15390
FBtr0087854	NW_020825207.1_cds_XP_001975855.1_15683
FBtr0087819	NW_020825207.1_cds_XP_015012495.1_15689
FBtr0302939	NW_020825207.1_cds_XP_001975849.1_15690
FBtr0087818	NW_020825207.1_cds_XP_001975848.2_15691
FBtr0306584	NW_020825207.1_cds_XP_001975848.2_15691
FBtr0087817	NW_020825207.1_cds_XP_001975847.1_15692
FBtr0306581	NW_020825207.1_cds_XP_026835911.1_15697
FBtr0306580	NW_020825207.1_cds_XP_026835910.1_15696
FBtr0306583	NW_020825207.1_cds_XP_026835910.1_15696
FBtr0306579	NW_020825207.1_cds_XP_015012493.1_15695
FBtr0337029	NW_020825207.1_cds_XP_026835911.1_15697
FBtr0344926	NW_020825207.1_cds_XP_026835911.1_15697
FBtr0306582	NW_020825207.1_cds_XP_015012493.1_15695
FBtr0087816	NW_020825207.1_cds_XP_026835913.1_15694
FBtr0331979	NW_020825207.1_cds_XP_026835913.1_15694
FBtr0310155	NW_020825207.1_cds_XP_015012483.1_15753
FBtr0087772	NW_020825207.1_cds_XP_015012483.1_15753
FBtr0310151	NW_020825207.1_cds_XP_015012483.1_15753
FBtr0310152	NW_020825207.1_cds_XP_015012483.1_15753
FBtr0310153	NW_020825207.1_cds_XP_015012483.1_15753
FBtr0310154	NW_020825207.1_cds_XP_015012483.1_15753
FBtr0345942	NW_020825207.1_cds_XP_001975771.2_15806
FBtr0345942	NW_020825207.1_cds_XP_001975771.2_15806
FBtr0310562	NW_020825207.1_cds_XP_001975771.2_15806
FBtr0310562	NW_020825207.1_cds_XP_001975771.2_15806
FBtr0346185	NW_020825207.1_cds_XP_001975740.2_15872
FBtr0303819	NW_020825207.1_cds_XP_001975740.2_15872
FBtr0087638	NW_020825207.1_cds_XP_001975720.3_15907
FBtr0087514	NW_020825207.1_cds_XP_001975621.1_16090
FBtr0339997	NW_020825207.1_cds_XP_001975538.1_16228
FBtr0087401	NW_020825207.1_cds_XP_001975538.1_16228
FBtr0345494	NW_020825207.1_cds_XP_001975318.3_16568
FBtr0087082	NW_020825207.1_cds_XP_001975318.3_16568
FBtr0345493	NW_020825207.1_cds_XP_001975317.1_16569
FBtr0087081	NW_020825207.1_cds_XP_001975317.1_16569
FBtr0087042	NW_020825207.1_cds_XP_001975296.1_16596
FBtr0110777	NW_020825207.1_cds_XP_001975253.1_16677
FBtr0086933	NW_020825207.1_cds_XP_001975206.1_16756
FBtr0086934	NW_020825207.1_cds_XP_001975206.1_16756
FBtr0086935	NW_020825207.1_cds_XP_001975206.1_16756
FBtr0086937	NW_020825207.1_cds_XP_001975206.1_16756
FBtr0089559	NW_020825207.1_cds_XP_001974575.1_17761
FBtr0340276	NW_020825207.1_cds_XP_001974575.1_17761
FBtr0086596	NW_020825207.1_cds_XP_001974769.1_17475
FBtr0340458	NW_020825207.1_cds_XP_015011862.1_17469
FBtr0340457	NW_020825207.1_cds_XP_026836573.1_17468
FBtr0340459	NW_020825207.1_cds_XP_015011862.1_17469
FBtr0100129	NW_020825207.1_cds_XP_026836573.1_17468
FBtr0086594	NW_020825207.1_cds_XP_001974773.1_17467
FBtr0086593	NW_020825207.1_cds_XP_015011863.1_17466
FBtr0340470	NW_020825207.1_cds_XP_001974782.1_17416
FBtr0086510	NW_020825207.1_cds_XP_001974782.1_17416
FBtr0304055	NW_020825207.1_cds_XP_001974796.1_17401
FBtr0304055	NW_020825207.1_cds_XP_001974796.1_17401
FBtr0086518	NW_020825207.1_cds_XP_001974796.1_17401
FBtr0086518	NW_020825207.1_cds_XP_001974796.1_17401
FBtr0304898	NW_020825207.1_cds_XP_026836497.1_17320
FBtr0086342	NW_020825207.1_cds_XP_001974854.3_17280
FBtr0086343	NW_020825207.1_cds_XP_001974854.3_17280
FBtr0303458	NW_020825207.1_cds_XP_015012191.1_17275
FBtr0086301	NW_020825207.1_cds_XP_001974892.1_17236
FBtr0345933	NW_020825207.1_cds_XP_001974913.1_17211
FBtr0086216	NW_020825207.1_cds_XP_001974913.1_17211
FBtr0071535	NW_020825207.1_cds_XP_026837177.1_17077
FBtr0332423	NW_020825207.1_cds_XP_026837177.1_17077
FBtr0071536	NW_020825207.1_cds_XP_026837177.1_17077
FBtr0071537	NW_020825207.1_cds_XP_026837177.1_17077
FBtr0071538	NW_020825207.1_cds_XP_026837177.1_17077
FBtr0071539	NW_020825207.1_cds_XP_026837177.1_17077
FBtr0071540	NW_020825207.1_cds_XP_026837177.1_17077
FBtr0342897	NW_020825207.1_cds_XP_001975058.2_16978
FBtr0342896	NW_020825207.1_cds_XP_001975058.2_16978
FBtr0071703	NW_020825207.1_cds_XP_001975058.2_16978
FBtr0306013	NW_020825207.1_cds_XP_026835689.1_16977
FBtr0300397	NW_020825207.1_cds_XP_001975058.2_16978
FBtr0071690	NW_020825207.1_cds_XP_026836721.1_16943
FBtr0071691	NW_020825207.1_cds_XP_026836722.1_16944
FBtr0344882	NW_020825207.1_cds_XP_026836721.1_16943
FBtr0300226	NW_020825207.1_cds_XP_026836256.1_16889
FBtr0071720	NW_020825207.1_cds_XP_001975122.1_16879
FBtr0071785	NW_020825207.1_cds_XP_015011785.1_16808
FBtr0071784	NW_020825207.1_cds_XP_015011785.1_16808
FBtr0345504	NW_020825207.1_cds_XP_001974497.1_17876
FBtr0071933	NW_020825207.1_cds_XP_001974497.1_17876
FBtr0072127	NW_020825207.1_cds_XP_026836903.1_14765
FBtr0343274	NW_020825207.1_cds_XP_026836903.1_14765
FBtr0343340	NW_020825207.1_cds_XP_001976527.1_14668
FBtr0072164	NW_020825207.1_cds_XP_001976527.1_14668
FBtr0343341	NW_020825207.1_cds_XP_001976527.1_14668
FBtr0072322	NW_020825207.1_cds_XP_001976647.1_14499
